,0
0,1
1,0
2,0
3,1
4,1
5,1
6,1
7,0
8,1
9,0
10,0
11,1
12,1
13,0
14,0
15,1
16,1
17,0
18,1
19,1
20,1
21,0
22,0
23,1
24,0
25,0
26,1
27,1
28,0
29,0
30,0
31,1
32,0
33,0
34,1
35,1
36,1
37,0
38,1
39,0
40,1
41,1
42,1
43,0
44,1
45,0
46,0
47,1
48,0
49,0
50,0
51,0
52,1
53,0
54,0
55,1
56,1
57,1
58,0
59,1
60,0
61,1
62,1
63,0
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,0
72,0
73,1
74,1
75,1
76,1
77,0
78,0
79,0
80,1
81,1
82,1
83,1
84,0
85,1
86,0
87,1
88,0
89,1
90,0
91,1
92,1
93,1
94,0
95,1
96,1
97,1
98,0
99,0
100,0
101,1
102,1
103,1
104,0
105,1
106,1
107,0
108,1
109,1
110,0
111,1
112,1
113,0
114,1
115,1
116,0
117,1
118,0
119,0
120,1
121,0
122,1
123,1
124,0
125,1
126,1
127,0
128,0
129,0
130,1
131,0
132,1
133,1
134,1
135,0
136,0
137,1
138,1
139,0
140,1
141,0
142,1
143,0
144,0
145,0
146,1
147,0
148,1
149,1
150,0
151,1
152,1
153,1
154,1
155,1
156,1
157,1
158,0
159,0
160,0
161,1
162,0
163,1
164,0
165,1
166,1
167,0
168,1
169,1
170,1
171,1
172,1
173,0
174,0
175,1
176,1
177,1
178,0
179,0
180,1
181,1
182,1
183,0
184,0
185,0
186,1
187,1
188,0
189,1
190,1
191,1
192,1
193,0
194,0
195,1
196,1
197,0
198,1
199,0
200,0
201,0
202,1
203,1
204,0
205,0
206,1
207,0
208,0
209,0
210,1
211,0
212,1
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,1
221,1
222,0
223,1
224,0
225,0
226,0
227,1
228,0
229,0
230,1
231,0
232,0
233,1
234,1
235,0
236,1
237,1
238,1
239,1
240,0
241,0
242,0
243,0
244,0
245,1
246,0
247,1
248,1
249,0
250,0
251,0
252,0
253,0
254,1
255,0
256,0
257,1
258,1
259,0
260,0
261,1
262,1
263,1
264,0
265,1
266,0
267,0
268,0
269,1
270,0
271,0
272,1
273,1
274,1
275,1
276,1
277,0
278,1
279,0
280,0
281,1
282,1
283,0
284,0
285,0
286,0
287,0
288,1
289,0
290,1
291,1
292,1
293,1
294,1
295,1
296,0
297,1
298,1
299,0
300,1
301,0
302,1
303,1
304,1
305,1
306,0
307,1
308,1
309,0
310,1
311,0
312,0
313,1
314,1
315,0
316,0
317,0
318,1
319,0
320,0
321,0
322,1
323,0
324,1
325,0
326,0
327,1
328,1
329,1
330,1
331,0
332,1
333,0
334,1
335,1
336,0
337,1
338,1
339,1
340,1
341,1
342,0
343,0
344,1
345,1
346,1
347,1
348,1
349,1
350,1
351,0
352,1
353,1
354,1
355,1
356,0
357,0
358,1
359,0
360,0
361,1
362,0
363,1
364,0
365,1
366,0
367,0
368,0
369,0
370,1
371,1
372,0
373,1
374,1
375,1
376,1
377,0
378,0
379,1
380,1
381,1
382,1
383,1
384,1
385,0
386,0
387,1
388,0
389,1
390,1
391,1
392,1
393,1
394,1
395,0
396,1
397,0
398,1
399,0
400,0
401,1
402,1
403,1
404,1
405,1
406,1
407,1
408,0
409,1
410,0
411,1
412,1
413,1
414,1
415,1
416,1
417,1
418,0
419,1
420,1
421,0
422,1
423,0
424,1
425,1
426,0
427,0
428,0
429,1
430,1
431,1
432,1
433,1
434,0
435,1
436,1
437,1
438,0
439,0
440,0
441,1
442,1
443,0
444,0
445,1
446,0
447,0
448,0
449,0
450,1
451,0
452,0
453,1
454,1
455,0
456,0
457,1
458,1
459,0
460,0
461,0
462,1
463,1
464,1
465,0
466,1
467,1
468,0
469,0
470,1
471,0
472,0
473,1
474,1
475,1
476,1
477,0
478,0
479,0
480,0
481,0
482,0
483,1
484,1
485,1
486,1
487,1
488,1
489,1
490,1
491,0
492,1
493,1
494,0
495,0
496,0
497,0
498,1
499,0
500,0
501,0
502,1
503,1
504,1
505,1
506,0
507,0
508,0
509,1
510,1
511,0
512,1
513,1
514,0
515,1
516,0
517,0
518,0
519,1
520,1
521,1
522,1
523,0
524,0
525,0
526,1
527,0
528,1
529,1
530,1
531,1
532,0
533,1
534,0
535,1
536,0
537,1
538,0
539,0
540,1
541,0
542,0
543,0
544,1
545,1
546,0
547,1
548,0
549,1
550,1
551,1
552,1
553,1
554,0
555,0
556,1
557,0
558,1
559,0
560,0
561,0
562,0
563,0
564,1
565,1
566,1
567,0
568,1
569,0
570,1
571,0
572,0
573,0
574,1
575,1
576,0
577,0
578,1
579,0
580,0
581,0
582,0
583,0
584,0
585,0
586,1
587,0
588,1
589,1
590,1
591,1
592,0
593,0
594,1
595,0
596,0
597,1
598,1
599,0
600,0
601,1
602,1
603,1
604,0
605,1
606,0
607,0
608,1
609,0
610,1
611,0
612,1
613,1
614,1
615,0
616,0
617,0
618,0
619,1
620,1
621,1
622,1
623,0
624,0
625,0
626,0
627,1
628,1
629,0
630,1
631,1
632,1
633,0
634,1
635,0
636,1
637,0
638,1
639,1
640,0
641,0
642,0
643,0
644,1
645,1
646,1
647,0
648,1
649,0
650,0
651,0
652,1
653,1
654,1
655,0
656,1
657,1
658,0
659,1
660,1
661,0
662,1
663,0
664,1
665,1
666,1
667,1
668,1
669,0
670,0
671,1
672,0
673,0
674,1
675,1
676,1
677,1
678,0
679,1
680,1
681,1
682,1
683,0
684,0
685,1
686,1
687,0
688,1
689,1
690,0
691,1
692,1
693,0
694,0
695,1
696,1
697,1
698,1
699,1
700,0
701,1
702,1
703,1
704,1
705,1
706,1
707,0
708,0
709,0
710,1
711,1
712,1
713,0
714,0
715,0
716,0
717,0
718,0
719,0
720,0
721,0
722,1
723,1
724,0
725,0
726,1
727,1
728,1
729,1
730,1
731,1
732,1
733,1
734,1
735,1
736,1
737,1
738,0
739,1
740,1
741,1
742,0
743,1
744,1
745,0
746,1
747,1
748,1
749,0
750,0
751,0
752,0
753,0
754,1
755,1
756,1
757,1
758,1
759,0
760,0
761,1
762,1
763,0
764,0
765,1
766,1
767,1
768,1
769,1
770,0
771,1
772,1
773,1
774,1
775,1
776,0
777,1
778,0
779,1
780,0
781,1
782,1
783,0
784,1
785,1
786,0
787,0
788,1
789,0
790,1
791,1
792,0
793,1
794,0
795,1
796,0
797,0
798,1
799,1
800,0
801,0
802,0
803,1
804,0
805,0
806,0
807,1
808,1
809,0
810,1
811,1
812,0
813,0
814,0
815,1
816,1
817,0
818,1
819,1
820,1
821,0
822,1
823,1
824,1
825,0
826,1
827,0
828,1
829,1
830,1
831,1
832,0
833,1
834,1
835,1
836,1
837,0
838,0
839,0
840,1
841,1
842,1
843,1
844,1
845,0
846,1
847,1
848,1
849,1
850,1
851,1
852,0
853,0
854,0
855,1
856,1
857,1
858,1
859,1
860,1
861,0
862,0
863,0
864,0
865,1
866,1
867,1
868,1
869,1
870,1
871,0
872,0
873,0
874,1
875,0
876,1
877,0
878,1
879,1
880,0
881,0
882,0
883,1
884,0
885,0
886,1
887,1
888,1
889,0
890,0
891,0
892,0
893,1
894,0
895,0
896,1
897,1
898,1
899,0
900,0
901,1
902,0
903,1
904,1
905,0
906,0
907,0
908,0
909,1
910,0
911,1
912,0
913,1
914,0
915,1
916,0
917,0
918,0
919,0
920,0
921,0
922,1
923,0
924,1
925,1
926,1
927,1
928,0
929,1
930,0
931,0
932,0
933,0
934,1
935,0
936,1
937,0
938,1
939,1
940,1
941,0
942,1
943,1
944,0
945,0
946,1
947,0
948,0
949,1
950,0
951,1
952,0
953,1
954,0
955,0
956,1
957,1
958,1
959,1
960,0
961,1
962,0
963,0
964,0
965,1
966,1
967,1
968,1
969,1
970,0
971,0
972,0
973,1
974,0
975,1
976,1
977,1
978,1
979,1
980,1
981,0
982,1
983,1
984,1
985,0
986,1
987,1
988,0
989,0
990,0
991,1
992,1
993,0
994,1
995,1
996,0
997,0
998,0
999,0
1000,1
1001,1
1002,0
1003,0
1004,1
1005,1
1006,0
1007,1
1008,1
1009,1
1010,1
1011,0
1012,0
1013,1
1014,1
1015,1
1016,0
1017,0
1018,1
1019,0
1020,1
1021,1
1022,1
1023,0
1024,1
1025,0
1026,1
1027,0
1028,0
1029,1
1030,1
1031,1
1032,1
1033,0
1034,0
1035,1
1036,1
1037,1
1038,1
1039,0
1040,1
1041,0
1042,1
1043,0
1044,1
1045,1
1046,0
1047,1
1048,0
1049,0
1050,0
1051,0
1052,1
1053,0
1054,1
1055,1
1056,1
1057,1
1058,1
1059,0
1060,0
1061,1
1062,1
1063,1
1064,0
1065,0
1066,0
1067,0
1068,0
1069,0
1070,1
1071,0
1072,0
1073,1
1074,1
1075,1
1076,1
1077,0
1078,1
1079,0
1080,1
1081,1
1082,1
1083,1
1084,1
1085,1
1086,0
1087,1
1088,1
1089,1
1090,1
1091,1
1092,0
1093,1
1094,0
1095,1
1096,1
1097,1
1098,1
1099,0
1100,0
1101,1
1102,0
1103,1
1104,0
1105,1
1106,0
1107,1
1108,0
1109,0
1110,0
1111,0
1112,1
1113,0
1114,1
1115,0
1116,1
1117,0
1118,1
1119,1
1120,1
1121,1
1122,0
1123,0
1124,1
1125,1
1126,0
1127,0
1128,0
1129,1
1130,0
1131,1
1132,0
1133,0
1134,1
1135,0
1136,0
1137,1
1138,1
1139,0
1140,1
1141,0
1142,0
1143,0
1144,1
1145,0
1146,0
1147,1
1148,0
1149,0
1150,1
1151,1
1152,0
1153,1
1154,1
1155,0
1156,1
1157,1
1158,0
1159,1
1160,0
1161,0
1162,1
1163,1
1164,1
1165,1
1166,1
1167,0
1168,1
1169,1
1170,0
1171,1
1172,0
1173,1
1174,1
1175,0
1176,1
1177,0
1178,1
1179,0
1180,1
1181,0
1182,1
1183,1
1184,0
1185,0
1186,1
1187,1
1188,1
1189,0
1190,0
1191,0
1192,1
1193,0
1194,0
1195,1
1196,1
1197,1
1198,0
1199,1
1200,1
1201,0
1202,0
1203,1
1204,1
1205,1
1206,1
1207,1
1208,0
1209,1
1210,0
1211,1
1212,1
1213,1
1214,1
1215,0
1216,0
1217,1
1218,1
1219,0
1220,0
1221,1
1222,1
1223,1
1224,1
1225,1
1226,0
1227,1
1228,0
1229,1
1230,0
